CE_Event_Counter,Coalescence_Time,Eccentricity@DCO,Immediate_RLOF>CE,MT_Donor_Hist(1),MT_Donor_Hist(2),Mass(1),Mass(2),Merges_Hubble_Time,Metallicity@ZAMS(1),Optimistic_CE,Record_Type,Recycled_NS(1),Recycled_NS(2),SEED,SemiMajorAxis@DCO,Stellar_Type(1),Stellar_Type(2),Time,mixture_weight
0,2.4582777826656158e+20,0.9784780037066667,0,b'NA              ',b'NA              ',9.316899186416219,8.032215021678493,0,0.0008231338659395706,0,1,0.0,0.0,4897,14376.833348766922,14,14,10.351107040144662,10.0
0,2045121198.2105615,1.2412670766236366e-16,0,b'2               ',b'2               ',10.695036944924563,12.234653222204757,0,0.01134571509316576,0,1,0.0,0.0,4969,2.0883181389439636,14,14,7.033968193961998,10.0
0,43883913.21837858,2.220446049250313e-16,0,b'2               ',b'2               ',43.285280364762194,12.39357745278648,0,0.0009366615204494308,0,1,0.0,0.0,5190,1.419734086679733,14,14,6.820537284922002,10.0
0,3317630892357253.0,0.9464999645017755,0,b'NA              ',b'NA              ',11.191066214785335,9.010235278127519,0,0.00018222029710563794,0,1,0.0,0.0,5249,461.55003995945856,14,14,9.114214206371777,9.999999999999998
0,2644451844854983.5,0.7130078397248655,0,b'2               ',b'NA              ',10.877170723861393,9.891794512656267,0,0.010688260198590267,0,1,0.0,0.0,5841,121.47912813375947,14,14,8.059195440547038,10.0
0,144287467.22465828,2.2887833992611187e-16,0,b'2               ',b'2               ',13.12062001466783,11.055026741460429,0,0.013416301138077319,0,1,0.0,0.0,6073,1.1190618229065448,14,14,7.264245599729995,10.0
0,3039713.845654382,1.1102230246251565e-16,0,b'2               ',b'2               ',14.161984394446897,9.001692288955537,0,0.00025114317665167165,0,1,0.0,0.0,6526,0.4084096365706473,14,14,10.409898769149004,10.0
0,3152324049774.7705,0.8323088008847804,0,b'2               ',b'2               ',6.106846909194593,1.26,0,0.014142901552580913,0,1,0.0,0.0,6976,13.453309876460837,14,13,38.49525294076798,10.0
0,15909845571.47788,0.2785404451981998,0,b'2               ',b'2               ',15.463824269422398,6.273987167547548,0,0.006696388317066261,0,1,0.0,0.0,7151,3.4272730519313557,14,14,8.009161957616003,10.0
1,0.03278355887192208,0.9494938325040955,0,b'2               ',b'4               ',14.123823263459395,1.5989943947596545,1,0.007529074882487271,0,1,0.0,0.0,7211,0.017518516780771442,14,13,9.515231569770085,9.999999999999998
0,1.289313864031785e+18,0.19084769353369785,0,b'NA              ',b'NA              ',9.700166637087417,9.336398294846703,0,0.0050373071664987475,0,1,0.0,0.0,7408,297.6114445107162,14,14,8.620174201505991,9.999999999999998
1,7.8082968424338315,2.7755575615628914e-17,0,b'2               ',b'4               ',13.260732213857802,12.000280653441548,1,0.0008653437683099856,0,1,0.0,0.0,7765,0.017661002786870134,14,14,8.433062868801079,10.0
0,325466.3159365296,0.0,0,b'2               ',b'2               ',19.7333043363966,28.49699468618472,0,0.0068950069141179805,0,1,0.0,0.0,7793,0.40670553474579096,14,14,5.575398778206998,9.999999999999998
0,2066058927.2709758,1.1102230246251565e-16,0,b'2               ',b'2               ',37.498653345901374,29.060334926597363,0,0.0003489234021685674,0,1,0.0,0.0,7811,4.6423757494715865,14,14,5.214166819708992,10.0
0,1.7543613622584424e+22,0.9889818589031264,0,b'NA              ',b'NA              ',8.974758653278785,6.669089801629165,0,0.00016280577264844896,0,1,0.0,0.0,8458,67521.49638329606,14,14,12.35696024017762,10.0
0,2234479.830642423,2.2887833992611187e-16,0,b'2               ',b'2               ',14.463617123593188,14.9731297044014,0,0.01527539769297774,0,1,0.0,0.0,8486,0.45839281523158826,14,14,6.916813932978998,10.0
0,5.5977803585291695e+20,0.9963950568257366,0,b'NA              ',b'NA              ',10.644070873379071,9.203108933837555,0,0.0004074977008345793,0,1,0.0,0.0,8992,88913.03579185187,14,14,9.026973278122052,10.0
0,3.4628426389552132e+16,0.5219846797625789,0,b'NA              ',b'NA              ',19.3428412518005,14.675165400856075,0,0.025260552480477264,0,1,0.0,0.0,9706,236.98475425415913,14,14,5.296952931290795,10.0
0,773000561.8949085,2.237726045655905e-16,0,b'2               ',b'4               ',38.71044188892916,7.351473352768194,0,0.00011102340020612084,0,1,0.0,0.0,9753,2.3673089642099034,14,14,9.18544282236101,10.0
0,33509699362108.125,4.652682298944613e-16,0,b'2               ',b'NA              ',29.33899944071237,18.663103945310432,0,0.005954645035688154,0,1,0.0,0.0,10433,40.64796954435696,14,14,4.724949141294024,10.0
0,877216192215356.6,3.3766115072321297e-16,0,b'2               ',b'4               ',37.84213072160429,9.990456258958021,0,0.002112471208832772,0,1,0.0,0.0,10811,83.73783276463895,14,14,7.61228976877698,10.0
0,2.163062838319049e+16,0.04069446513792141,0,b'NA              ',b'NA              ',43.489687241128756,20.389486927088583,0,0.0012251588445206876,0,1,0.0,0.0,10895,248.60447696336294,14,14,4.813370588261964,10.0
0,5183833769583363.0,0.8801535339118911,0,b'5               ',b'NA              ',12.204110150308292,11.227486695129711,0,0.00030515555069568294,0,1,0.0,0.0,10997,304.76844195954726,14,14,7.555039400225235,10.0
0,5.942603376356533e+19,0.42679750483899553,0,b'NA              ',b'NA              ',11.97983991747887,7.5917314495185515,0,0.019584159256952866,0,1,0.0,0.0,11135,902.2563439540531,14,14,9.038262710433983,10.0
1,34.605231786883174,0.0,0,b'2               ',b'4               ',13.101703946598198,7.527076328468344,1,0.0006606038955718878,0,1,0.0,0.0,11329,0.021613057892197664,14,14,11.479039517745155,10.0
0,32462140.063357648,0.686307868311166,0,b'2               ',b'2               ',21.42664602427127,1.2357379879293688,0,0.0005552028365762712,0,1,0.0,0.0,11401,0.8639877989666536,14,13,23.75391646474399,10.0
0,174421007891.13626,1.2412670766236366e-16,0,b'2               ',b'2               ',23.515367849220965,14.331606496849238,0,0.0034471881193069214,0,1,0.0,0.0,11744,9.112614863256866,14,14,6.050430844513007,10.0
